experiment,label,frame,time_s,joint_linear_ke,bend_m,q1_m,q2_m,current_residual_m,max_residual_m,drive_stroke_m
iterations_fixed,36 iterations,120,2.00000000,3000000.00000000,0.0058126057,0.0016658155,0.0055197533,0.0002693329,0.0002693329,-0.0000000076
iterations_fixed,36 iterations,240,4.00000000,3000000.00000000,0.0121973611,0.0080239475,0.0054779933,0.0002907010,0.0002907010,-0.0000000076
iterations_fixed,36 iterations,480,8.00000000,3000000.00000000,0.0249757567,0.0207503214,0.0053859632,0.0003347086,0.0003347086,-0.0000000076
iterations_fixed,48 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,48 iterations,30,0.50000000,3000000.00000000,0.0005688506,-0.0025292307,0.0038007919,0.0001541894,0.0001582658,-0.0000000076
iterations_fixed,48 iterations,60,1.00000000,3000000.00000000,0.0012396644,-0.0023651791,0.0044988664,0.0001877340,0.0001877340,-0.0000000076
iterations_fixed,48 iterations,120,2.00000000,3000000.00000000,0.0026535170,-0.0010636371,0.0046474896,0.0001991810,0.0001991810,-0.0000000076
iterations_fixed,48 iterations,240,4.00000000,3000000.00000000,0.0055015147,0.0017706992,0.0046344157,0.0002082598,0.0002082598,-0.0000000076
iterations_fixed,48 iterations,480,8.00000000,3000000.00000000,0.0111622095,0.0074068392,0.0045946795,0.0002264408,0.0002264408,-0.0000000076
iterations_fixed,72 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,72 iterations,30,0.50000000,3000000.00000000,0.0003004375,-0.0019401739,0.0025848637,0.0000985001,0.0000985001,-0.0000000076
iterations_fixed,72 iterations,60,1.00000000,3000000.00000000,0.0005096901,-0.0022511617,0.0032402889,0.0001215121,0.0001215121,-0.0000000076
iterations_fixed,72 iterations,120,2.00000000,3000000.00000000,0.0008808433,-0.0020468805,0.0034554480,0.0001314438,0.0001314438,-0.0000000076
iterations_fixed,72 iterations,240,4.00000000,3000000.00000000,0.0016096935,-0.0013285251,0.0034667398,0.0001341838,0.0001341838,-0.0000000076
iterations_fixed,72 iterations,480,8.00000000,3000000.00000000,0.0030548830,0.0001122044,0.0034575688,0.0001384794,0.0001384794,-0.0000000076
iterations_fixed,96 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,96 iterations,30,0.50000000,3000000.00000000,0.0003095420,-0.0014071162,0.0019492196,0.0000737437,0.0000737437,-0.0000000076
iterations_fixed,96 iterations,60,1.00000000,3000000.00000000,0.0004957607,-0.0016945364,0.0025257017,0.0000921427,0.0000921427,-0.0000000076
iterations_fixed,96 iterations,120,2.00000000,3000000.00000000,0.0007801653,-0.0015974925,0.0027549022,0.0001019439,0.0001019957,-0.0000000076
iterations_fixed,96 iterations,240,4.00000000,3000000.00000000,0.0013071229,-0.0010890480,0.0027751729,0.0001044221,0.0001044357,-0.0000000076
iterations_fixed,96 iterations,480,8.00000000,3000000.00000000,0.0023449425,-0.0000545225,0.0027686113,0.0001074415,0.0001074415,-0.0000000076
iterations_fixed,144 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,144 iterations,30,0.50000000,3000000.00000000,0.0003906810,-0.0008654391,0.0014251363,0.0000551113,0.0000551113,-0.0000000076
iterations_fixed,144 iterations,60,1.00000000,3000000.00000000,0.0006597716,-0.0009982400,0.0019042582,0.0000702679,0.0000702679,-0.0000000076
iterations_fixed,144 iterations,120,2.00000000,3000000.00000000,0.0010981670,-0.0007470582,0.0021251459,0.0000800631,0.0000800631,-0.0000000076
iterations_fixed,144 iterations,240,4.00000000,3000000.00000000,0.0019136572,0.0000403969,0.0021502327,0.0000835594,0.0000835820,-0.0000000076
iterations_fixed,144 iterations,480,8.00000000,3000000.00000000,0.0035105572,0.0016290217,0.0021408012,0.0000882642,0.0000882748,-0.0000000076
joint_stiffness,k_joint=20000,0,0.00000000,20000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=20000,30,0.50000000,20000.00000000,0.0438568850,0.0425937735,0.0015757569,0.0061243968,0.0111037596,-0.0000000076
joint_stiffness,k_joint=20000,60,1.00000000,20000.00000000,0.0866896477,0.0851627141,0.0018936918,0.0073698933,0.0111037596,-0.0000000076
